Year,Region,Commodity,Data Item,Value
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),SQUASH,"SQUASH, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","5,400"
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),SQUASH,"SQUASH, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",31.2
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),SQUASH,"SQUASH, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",63.2
2022,REGION 1 (CT IA IL IN KS MA ME MI NE NH NJ NY OH PA RI VT WI),SQUASH,"SQUASH, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","4,600"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),APPLES,"APPLES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","11,900"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),APPLES,"APPLES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",17.6
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),APPLES,"APPLES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",52.6
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),APPLES,"APPLES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","5,500"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","22,400"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",139
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",78.3
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","46,000"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","66,850"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $","6,601,000"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",84
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",70.2
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","94,100"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","8,800"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",52.3
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",57.8
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","13,000"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),MELONS,"MELONS, CANTALOUP, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","1,850"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),MELONS,"MELONS, CANTALOUP, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",84.9
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),MELONS,"MELONS, CANTALOUP, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",52.3
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),MELONS,"MELONS, CANTALOUP, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","3,300"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","16,900"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",77.5
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",70.6
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","19,500"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),PUMPKINS,"PUMPKINS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","1,850"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),PUMPKINS,"PUMPKINS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",38.5
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),PUMPKINS,"PUMPKINS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",88.9
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),PUMPKINS,"PUMPKINS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","1,300"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),SQUASH,"SQUASH, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","3,150"
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),SQUASH,"SQUASH, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",89.7
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),SQUASH,"SQUASH, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",53.3
2022,REGION 2 (AL DE GA KY MD NC SC TN VA WV),SQUASH,"SQUASH, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","5,500"
2022,REGION 3 (AR FL LA MO MS NM OK TX),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","4,200"
2022,REGION 3 (AR FL LA MO MS NM OK TX),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",134
2022,REGION 3 (AR FL LA MO MS NM OK TX),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",54.8
2022,REGION 3 (AR FL LA MO MS NM OK TX),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","16,500"
2022,REGION 3 (AR FL LA MO MS NM OK TX),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","55,100"
2022,REGION 3 (AR FL LA MO MS NM OK TX),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $","7,387,000"
2022,REGION 3 (AR FL LA MO MS NM OK TX),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",71.2
2022,REGION 3 (AR FL LA MO MS NM OK TX),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",57
2022,REGION 3 (AR FL LA MO MS NM OK TX),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","129,500"
2022,REGION 3 (AR FL LA MO MS NM OK TX),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","32,700"
2022,REGION 3 (AR FL LA MO MS NM OK TX),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",46.9
2022,REGION 3 (AR FL LA MO MS NM OK TX),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",52.1
2022,REGION 3 (AR FL LA MO MS NM OK TX),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","89,000"
2022,REGION 3 (AR FL LA MO MS NM OK TX),MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","18,200"
2022,REGION 3 (AR FL LA MO MS NM OK TX),MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",100
2022,REGION 3 (AR FL LA MO MS NM OK TX),MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",76.9
2022,REGION 3 (AR FL LA MO MS NM OK TX),MELONS,"MELONS, WATERMELON, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","24,000"
2022,REGION 4 (CO MN MT ND NV SD UT WY),APPLES,"APPLES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","1,750"
2022,REGION 4 (CO MN MT ND NV SD UT WY),APPLES,"APPLES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",41
2022,REGION 4 (CO MN MT ND NV SD UT WY),APPLES,"APPLES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",51.7
2022,REGION 4 (CO MN MT ND NV SD UT WY),APPLES,"APPLES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","2,200"
2022,REGION 4 (CO MN MT ND NV SD UT WY),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","1,210"
2022,REGION 4 (CO MN MT ND NV SD UT WY),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",36.1
2022,REGION 4 (CO MN MT ND NV SD UT WY),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",32.1
2022,REGION 4 (CO MN MT ND NV SD UT WY),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","2,300"
2022,REGION 4 (CO MN MT ND NV SD UT WY),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","4,610"
2022,REGION 4 (CO MN MT ND NV SD UT WY),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $","628,000"
2022,REGION 4 (CO MN MT ND NV SD UT WY),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",44.2
2022,REGION 4 (CO MN MT ND NV SD UT WY),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",50.2
2022,REGION 4 (CO MN MT ND NV SD UT WY),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","12,500"
2022,REGION 4 (CO MN MT ND NV SD UT WY),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","1,650"
2022,REGION 4 (CO MN MT ND NV SD UT WY),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",52.6
2022,REGION 4 (CO MN MT ND NV SD UT WY),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",55
2022,REGION 4 (CO MN MT ND NV SD UT WY),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","8,000"
2022,REGION 5 (AK ID OR WA),APPLES,"APPLES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","104,000"
2022,REGION 5 (AK ID OR WA),APPLES,"APPLES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",62.8
2022,REGION 5 (AK ID OR WA),APPLES,"APPLES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",58.3
2022,REGION 5 (AK ID OR WA),APPLES,"APPLES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","113,000"
2022,REGION 5 (AK ID OR WA),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","13,300"
2022,REGION 5 (AK ID OR WA),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",136
2022,REGION 5 (AK ID OR WA),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",50.9
2022,REGION 5 (AK ID OR WA),BLUEBERRIES,"BLUEBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","39,000"
2022,REGION 5 (AK ID OR WA),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","40,700"
2022,REGION 5 (AK ID OR WA),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",115
2022,REGION 5 (AK ID OR WA),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",60.2
2022,REGION 5 (AK ID OR WA),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","79,000"
2022,REGION 5 (AK ID OR WA),CRANBERRIES,"CRANBERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","4,100"
2022,REGION 5 (AK ID OR WA),CRANBERRIES,"CRANBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",118
2022,REGION 5 (AK ID OR WA),CRANBERRIES,"CRANBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",73.9
2022,REGION 5 (AK ID OR WA),CRANBERRIES,"CRANBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","6,500"
2022,REGION 5 (AK ID OR WA),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","220,660"
2022,REGION 5 (AK ID OR WA),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $","17,453,000"
2022,REGION 5 (AK ID OR WA),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",74.7
2022,REGION 5 (AK ID OR WA),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",55.7
2022,REGION 5 (AK ID OR WA),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","313,100"
2022,REGION 5 (AK ID OR WA),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","33,400"
2022,REGION 5 (AK ID OR WA),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",44.8
2022,REGION 5 (AK ID OR WA),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",45.5
2022,REGION 5 (AK ID OR WA),"CROPS, OTHER","CROPS, OTHER, (NOT LISTED), HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","45,000"
2022,REGION 5 (AK ID OR WA),PEACHES,"PEACHES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",47.7
2022,REGION 5 (AK ID OR WA),PEACHES,"PEACHES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","1,100"
2022,REGION 5 (AK ID OR WA),PEACHES & NECTARINES,"PEACHES & NECTARINES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","1,060"
2022,REGION 5 (AK ID OR WA),PEACHES & NECTARINES,"PEACHES & NECTARINES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",37.3
2022,REGION 5 (AK ID OR WA),PEARS,"PEARS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","20,000"
2022,REGION 5 (AK ID OR WA),PEARS,"PEARS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",61.3
2022,REGION 5 (AK ID OR WA),PEARS,"PEARS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",55.8
2022,REGION 5 (AK ID OR WA),PEARS,"PEARS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","23,000"
2022,REGION 5 (AK ID OR WA),RASPBERRIES,"RASPBERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","4,100"
2022,REGION 5 (AK ID OR WA),RASPBERRIES,"RASPBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",58.4
2022,REGION 5 (AK ID OR WA),RASPBERRIES,"RASPBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",40.2
2022,REGION 5 (AK ID OR WA),RASPBERRIES,"RASPBERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","6,500"
2022,REGION 6 & 7 (AZ CA HI),ALMONDS,"ALMONDS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","1,032,700"
2022,REGION 6 & 7 (AZ CA HI),ALMONDS,"ALMONDS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",336
2022,REGION 6 & 7 (AZ CA HI),ALMONDS,"ALMONDS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",194
2022,REGION 6 & 7 (AZ CA HI),ALMONDS,"ALMONDS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","1,880,000"
2022,REGION 6 & 7 (AZ CA HI),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","27,000"
2022,REGION 6 & 7 (AZ CA HI),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",163
2022,REGION 6 & 7 (AZ CA HI),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",84
2022,REGION 6 & 7 (AZ CA HI),CHERRIES,"CHERRIES, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","53,000"
2022,REGION 6 & 7 (AZ CA HI),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - ACRES POLLINATED, PAID BASIS","1,155,800"
2022,REGION 6 & 7 (AZ CA HI),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $","386,752,000"
2022,REGION 6 & 7 (AZ CA HI),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / ACRE",313.8
2022,REGION 6 & 7 (AZ CA HI),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN $ / COLONY",173.2
2022,REGION 6 & 7 (AZ CA HI),CROP TOTALS,"CROP TOTALS, HONEY BEE POLLINATION - POLLINATION, MEASURED IN COLONIES","2,233,000"
